image_id,text,true_label,predicted_label,similarity,correct
1035658869823946753,Only do I look retarded with the hat https://t.co/tEJT36dys6,1,0,0.2774126,False
1108581529683415041,I’m the best looking nigga in @Clampavelli on god https://t.co/tuVQvJOjWA,1,0,0.2588256,False
1052566665131675648,@Jota_J10 Really nigga https://t.co/0ranXSOUrT,1,0,0.21448132,False
1109908803896700928,If u see this nigga in stage do not play with him he dog shittttt https://t.co/nkx0QhBmW2,1,0,0.23018661,False
1107104984175427584,"I ain’t begging no nigga to act right for me, say that he want me then we finna see. 🤷🏾‍♂️ https://t.co/zqaPjCHlEO",1,0,0.23852408,False
1057113105660993538,GO BLOW UP MY NIGGA KILOS ALBUM !! 😈 https://t.co/cgDmAZZyjO @cashkilos #KPROGRAM https://t.co/7oshzaPetA,1,0,0.3117101,False
1105860520584732679,@BrokeBrutha_ Every time this nigga is on my screen I’m just like: https://t.co/8al2LiduEd,1,0,0.2490546,False
1058151422083006464,zuppp nigga 😂  #NewProfilePic https://t.co/x4Uqn4Mz6w,1,0,0.2506885,False
1056723085112602625,let a nigga feel up on them booty cheeks https://t.co/c85ApHn05s,1,0,0.2156975,False
1113957442520535040,*at a house party*  Nobody:  Nigga with a gun:  https://t.co/gadOwCx7oV,1,0,0.24764818,False
1116365977011277830,I Was That Lil Nigga Ina Back Seat Masked Up I Couldn’t Catch A Nigga They Got Fast Feet https://t.co/MR8d00P3pW,1,0,0.21376729,False
1114697519773171712,"“If you’re mentally rich, you can manifest physical riches”   Nigga, okay. https://t.co/VPyzXFtSLe",1,0,0.22037774,False
1046235848008716289,Have a good pic for my avi but my hands look retarded  https://t.co/QKd9PON81Z,1,0,0.19166636,False
1061792307534614528,NIGGA HUH? https://t.co/VuCXCVwO7y,1,0,0.23344545,False
1117029947942539264,Me and my niggas in the club when a nigga start acting stupid https://t.co/0cKvqCmigL,1,0,0.26551452,False
1114288697984323585,bruh look at this nigga eyeball https://t.co/lAdgLz2knY,1,0,0.23446992,False
1106661460288118785,"Artist going on tour with Big Krit in the fall, says he needs a DJ. He asked me. Nigga... https://t.co/ywY33nr3e8",1,0,0.24981916,False
1114872680656904192,Where the nigga wit the bumps at https://t.co/yhhbOTcCm0,1,0,0.25317556,False
1062038142335758336,Jay: “you finna die baby” Nigger force: “nooo his negro powers were too strong” https://t.co/UgFUeZonHM,1,0,0.27053472,False
1108527383731159041,"She a real hood bitch, she da rich nigga kind 😏😏 https://t.co/ZqGO9auQQo",1,0,0.25158864,False
1058512015734566917,Trust a nigga???? in this economy??? lmaooooooooo https://t.co/bNu6m6zJo4,1,0,0.20954901,False
1109343102706290688,@PapaaSwamp I’m sucha Drake ass nigga https://t.co/YpGdVVG85x,1,0,0.2715708,False
1055754617882066944,Jack Bandit - Return Of ChinaMan #OutNow #Download #JackBandit https://t.co/bMGPjqgUAS,1,0,0.35564518,False
1107477821373513731,@SBIV99 Lmaaoo that nigga can’t even find team https://t.co/SLZwqnFicc,1,0,0.2433048,False
1106512634512179200,pullin up to save this lil nigga #NintendoSwitch https://t.co/QcqVARnYgz,1,0,0.22646059,False
1107846152819523584,Ion play that friendly ass shit. My nigga name is BILLY not B😂🙄🗣👏🏽(just an example) https://t.co/nLGygzvdfX,1,0,0.23213233,False
1108378991910633473,🤣🤣🤣🤣🤣🤣😂 nigga why??? https://t.co/wlbRTjOQbi,1,0,0.23236871,False
1062780347287515136,@MickWest And the photos conspiracy theorist use as evidence of Energy weapons. https://t.co/QdFbVSBbx5,1,0,0.32447022,False
1050598513883529216,@houshou_pic_bot &gt;still a nigger &gt;tfw don't care https://t.co/xsoO4QXZ9D,1,0,0.23309028,False
1056295066438979589,@tweetsofarob I’m not holding my nigga down while he gets bitched out &amp; get passed around for a carton of cigarettes https://t.co/tw0nZP7zZi,1,0,0.24279623,False
1113117506447781889,@ohhhhalx @tariqnasheed Nigga how u think all black leaders are killed https://t.co/3LC4YiBSJj,1,0,0.23286654,False
1108401324440387584,"You fucked up, bet the next nigga luck up🥵 https://t.co/issjZkJrXG",1,0,0.24373606,False
1053432334870106112,NIGGA HE CUT OUT HER DAMN TONGUE IM GONE https://t.co/O294BitQ1z,1,0,0.18951413,False
1061706356472905728,NIGGA ICE ME OUT https://t.co/OBCUX0TxBF,1,0,0.2465482,False
1105699505444438018,“Because love make a nigga do shit he don’t wanna” https://t.co/peTXrufhxB,1,0,0.25358185,False
1105516585081483264,Only men this flat foot. Nigga blowing smoke through K Shine toes https://t.co/REawG8HA6J,1,0,0.33479667,False
1105174471843897345,"If it don't make money, it don't make sense, that nigga ain't had the money he ain't seen me since 🤑 https://t.co/Nbh4iMTVJx",1,0,0.21279268,False
1054504643093393408,@YepRique YEEEEERRRRRRRR 😤😤😤😤 I GOT YOU MY NIGGA. BY THE BOAT LOAD https://t.co/ygTm9mKj7J,1,0,0.22207852,False
1115802526681530369,@JaeTee__ @WazzamBeeLaBish Nigga pulled a drive by on my ass one day in 😂ain’t hit shit tho https://t.co/rhGGwb1DUG,1,0,0.2364279,False
1105160753525469186,The Rob Ah Nigga 3000 😂🤣💀 https://t.co/lb90hdNa3Q,1,0,0.22715747,False
1024787453561864192,I just found that conspiracy theorist and #SandyHook denier #AlexJones #Infowars is STILL on @Spotify. https://t.co/uzibs7BA16,1,0,0.41891605,False
1053394258407886851,@cloutviIle Kim jeoung nigga big bombs Wonderbread man make tiassa lick crumbs https://t.co/eiQlvRb1FR,1,0,0.25508946,False
1108238369518043136,@Celebrated @skydovva Nigga https://t.co/MbCBhDJF2m,1,0,0.21689403,False
1035188330172837890,@BJP4India @sambitswaraj 😂😂 Watch mentally retarded Sambit Putra 😂😂 https://t.co/qZ54JJOgn4,1,0,0.36689183,False
1055194865720549376,@euphomoria a nigga was just casually going through her tl https://t.co/MTke0x8rXi,1,0,0.23678006,False
1105589966317465601,"@Aminahice @KVII803 This nigga wild as hell, your honor https://t.co/Wat5gquT3K",1,0,0.22679381,False
